# Open English WordNet 2024 (CC BY 4.0): antonym lemma pairs. See THIRD_PARTY.md
a_la_carte	prix_fixe
a_posteriori	a_priori
abactinal	actinal
abaft	fore
abaxial	adaxial
abaxially	adaxially
abbreviate	exposit
abducent	adducent
abduct	adduct
abidance	nonconformance
abience	adience
abient	adient
ability	inability
able	unable
abnormal	normal
abnormalcy	normalcy
abolish	establish
aborad	orad
aboral	buccal
aboriginal	nonnative
above	at_a_lower_place
above	below
aboveboard	venally
abranchial	branchiate
abridged	unabridged
abruptness	gentleness
absence	presence
absent	present
absolute	comparative
absolve	blame
absorb	emit
absorbable	adsorbable
absorbency	nonabsorbency
absorbent	nonabsorbent
abstain	consume
abstemious	gluttonous
abstract	concrete
abstractly	concretely
abstractness	concreteness
abstruseness	clarity
abundance	scarceness
abundant	scarce
abused	unabused
ac	dc
acanthopterygian	malacopterygian
acapnia	hypercapnia
acarpellous	carpellate
acatalectic	catalectic
acatalectic	hypercatalectic
acaudal	caudate
acaulescent	caulescent
accelerate	decelerate
acceleration	deceleration
accelerator	anticatalyst
accented	atonic
accented	unstressed
accentual	quantitative
accentual	syllabic
accept	decline
accept	pass_up
accept	reject
acceptability	unacceptability
acceptable	unacceptable
acceptably	intolerably
acceptance	rejection
acceptive	rejective
accessibility	unapproachability
accessibility	unavailability
accessible	inaccessible
accidentally	advisedly
acclivity	declination
accommodate	disoblige
accommodating	unaccommodating
accompanied	unaccompanied
accord	disagreement
accordant	discordant
accrual_basis	cash_basis
accuracy	inaccuracy
accurate	inaccurate
accurately	inaccurately
accusatorial	inquisitorial
accustomed_to	unaccustomed_to
acellular	cellular
acetify	alkalify
acetify	dulcorate
achiever	loser
achlamydeous	chlamydeous
achondritic	chondritic
achromatic	chromatic
achromatic_color	chromatic_color
achromatinic	chromatinic
achromatism	color
acid-loving	alkaline-loving
acidic	alkalic
acidic	amphiprotic
acidity	alkalinity
acknowledge	deny
acknowledged	unacknowledged
acquaintance	alien
acquaintance	stranger
acquiesce	dissent
acquisitive	unacquisitive
acquit	convict
acquittal	judgment_of_conviction
acrocarp	pleurocarp
acrocarpous	pleurocarpous
acropetal	basipetal
acroscopic	basiscopic
act	forbear
actable	unactable
actinomorphic	bilaterally_symmetrical
action	inaction
activate	deactivate
activation	deactivation
activation	inactivation
activator	inhibitor
active	dormant
active	extinct
active	inactive
active	passive
active	quiet
active	stative
active_trust	passive_trust
actively	passively
activeness	inactiveness
activity	inactivity
actual	possible
actual_sin	original_sin
acute	chronic
acute	obtuse
acutely	chronically
acuteness	obtuseness
acyclic	cyclic
adaptability	unadaptability
adaptable	unadaptable
adaptative	maladaptive
add	deduct
add	take_away
addicted	unaddicted
addictive	nonaddictive
addition	deduction
additive	nonlinear
additive	subtractive
addressed	unaddressed
adequacy	deficiency
adequacy	inadequacy
adequate	inadequate
adequately	inadequately
adhesive	nonadhesive
adiabatic	diabatic
adjective	essential
adjusted	maladjusted
adjusted	unadjusted
admire	look_down_on
admissibility	inadmissibility
admissible	inadmissible
admit	exclude
admit	turn_down
adnate	connate
adoptable	unadoptable
adopted	native
adoptive	biological
adorned	unadorned
adroit	maladroit
adroitly	maladroitly
adscript	inferior
adscript	superior
adsorbent	nonadsorbent
adult	juvenile
adult_female	adult_male
adulterant	purifying
advance	back
advance	drop_off
advance	recede
advantage	disadvantage
advantageous	disadvantageous
advantageously	badly
advantageousness	unfavourableness
adventuresome	unadventurous
advertently	unmindfully
advisability	inadvisability
advisable	inadvisable
advised	ill-advised
adynamic	dynamic
aerobic	anaerobic
aesthesia	insensibility
aesthetic	inaesthetic
aestivate	hibernate
afebrile	febrile
affected	unaffected
affectedness	unaffectedness
afferent	efferent
affinity	cognation
affirmation	reversal
affirmative	negative
affixed	loose
affluent	distributary
afloat	aground
afraid	fearless
aft	fore
age	rejuvenate
aged	young
aggrade	degrade
aggressive	nonaggressive
agitate	calm
agitated	unagitated
agitation	calmness
agnostic	gnostic
agonist	antagonist
agree	differ
agreeability	disagreeableness
agreeable	disagreeable
agreeableness	disagreeableness
agreement	disagreement
ahead	back
ahead_of_time	belatedly
ahistorical	historical
aided	unassisted
aimlessness	purposefulness
air-to-air	air-to-ground
air-to-air	surface-to-air
air-to-ground	surface-to-air
air_mail	surface_mail
airworthy	unairworthy
alarming	unalarming
alas	as_luck_would_have_it
alcoholic	nonalcoholic
alert	unalert
alfresco	indoors
algorithmic	heuristic
alienable	inalienable
aligned	nonaligned
alike	dissimilar
alikeness	dissimilitude
aline	skew
aliquant	aliquot
alive	dead
alive	unanimated
aliveness	inanimateness
alkalic	amphiprotic
all	no
all	some
alliance	nonalignment
allochthonous	autochthonous
allogamy	autogamy
allogeneic	xenogeneic
allopathic	homeopathic
allopathy	homeopathy
allopatric	sympatric
allopatry	sympatry
allow	deny
allow	keep
allowable	impermissible
allowably	impermissibly
aloud	quietly
alphabetic	analphabetic
also-ran	victor
alterability	unalterability
alterable	inalterable
altered	unaltered
alternate	opposite
alternating	direct
altricial	precocial
altruism	egocentrism
altruistic	egoistic
amateur	pro
amateurishly	expertly
ambidextrous	left-handed
ambidextrous	right-handed
ambiguity	unambiguity
ambiguous	unambiguous
ambiguous	univocal
ambiguously	unambiguously
ambitionless	ambitious
ambitiously	unambitiously
ambiversion	extraversion
ambiversion	introversion
ambiversive	extraversive
ambiversive	introversive
amend	exasperate
amended	unamended
ametabolic	metabolic
ametropic	emmetropic
amicable	hostile
amiss	perfectly
amorally	morally
amphibious	aquatic
amphibious	terrestrial
amphitropous	anatropous
ample	meager
amplify	downplay
amply	meagerly
anabatic	catabatic
anabolic	catabolic
anabolism	catabolism
anaclinal	cataclinal
anadromous	catadromous
anadromous	diadromous
anaesthetise	bring_around
anal	oral
analog	digital
analogous	heterological
analogous	homologous
analogy	apophatism
analogy	cataphatism
analphabetism	literacy
analyse	synthesise
analysis	synthesis
analytic	synthetic
analyzed	unanalyzed
anamorphism	katamorphism
anaphrodisia	aphrodisia
anaphrodisiac	aphrodisiac
anapsid	diapsid
anastalsis	peristalsis
anastigmatic	astigmatic
anathemize	bless
ancestor	descendant
androgynous	female
androgynous	male
anemophilous	entomophilous
anestrous	estrous
anestrum	estrus
anglican	nonconformist
anglophilia	anglophobia
angry	unangry
angular	rounded
angularity	roundness
anhydrous	hydrated
animate	inanimate
animate	insensate
anionic	cationic
anisotropic	isotropic
anisotropy	isotropy
annual	biennial
annual	perennial
anodal	cathodic
anode	cathode
anorthic	monoclinic
anovulation	ovulation
answer	interrogation
antagonist	synergist
antagonistic	conciliative
antagonistic	interactive
antapex	apex
antecedent	subsequent
antedate	follow
antemeridian	postmeridian
antemortem	postmortal
antenuptial	postnuptial
antepartum	perinatal
antepartum	postnatal
anterior	posterior
anteriority	posteriority
anterograde	retrograde
anti	pro
anti-american	pro-american
anti-beijing	pro-beijing
anticholinergic	cholinergic
anticlimactic	climactic
anticlinal	synclinal
anticlockwise	clockwise
anticyclone	cyclone
antimagnetic	magnetic
antinode	node
antipyretic	pyretic
antiseptic	infected
antitype	type
antonym	equivalent_word
antonymous	synonymous
antrorse	retrorse
aperiodic	periodic
apetalous	petalled
aphelion	perihelion
aplacental	placental
apoapsis	periapsis
apocarpous	syncarpous
apocrine	eccrine
apogee	perigee
apojove	perijove
apologetic	unapologetic
apolune	perilune
apophatism	cataphatism
aposelene	periselene
appeal	repel
appealable	unappealable
appealing	unappealing
appealingly	unappealingly
appear	disappear
appear	vanish
appearance	disappearance
appendaged	unappendaged
appetising	unappetising
appetisingness	unappetisingness
applicability	inapplicability
applied	theoretical
apply	defy
appointed	elected
apposable	unopposable
appositeness	inappositeness
appreciate	depreciate
appreciation	depreciation
appreciatively	ungratefully
approachable	unapproachable
approbate	reprobate
approbation	condemnation
appropriate	inappropriate
appropriately	inappropriately
appropriateness	inappropriateness
approval	disapproval
approve	disapprove
approvingly	disapprovingly
apropos	malapropos
apteral	peripteral
aptitude	inaptitude
aptness	inaptness
aquatic	terrestrial
aqueous	eruptive
arabic_numeral	roman_numeral
arbitrable	nonarbitrable
arbitrary	nonarbitrary
arboreal	nonarboreal
arenaceous	argillaceous
argumentative	unargumentative
arianism	athanasianism
aright	wrong
arise	lie
arise	sit
arm	demilitarise
armament	disarmament
armed	armless
armed	unarmed
arming	disarming
armored	unarmored
arrange	disarrange
arranged	disarranged
arrive	go_away
artefact	natural_object
artesian	subartesian
artful	artless
artfulness	artlessness
articulate	inarticulate
articulate	unarticulated
articulately	inarticulately
artificial	natural
artificial_language	natural_language
artificially	naturally
artiodactyl_mammal	odd-toed_ungulate
ascend	fall
ascending	descending
ascending_node	descending_node
ascent	fall
asexual	sexual
ashamed	unashamed
ashamedly	barefacedly
asleep	awake
assail	defend
assemblage	dismantling
assemble	take_apart
asserting	interrogatory
assertive	unassertive
assertively	unassertively
asset	liability
assigned	unassigned
assimilate	dissimilate
associate	dissociate
association	disassociation
associative	nonassociative
assortative_mating	disassortative_mating
astigmatism	stigmatism
astomatal	stomatal
astomatous	stomatous
astringent	nonastringent
asymmetric	symmetric
asymmetrically	symmetrically
asymmetry	balance
asynchronism	synchroneity
asynchronous	synchronic
asynchronous	synchronous
asynchronous_operation	synchronous_operation
asyndetic	syndetic
at_best	at_the_worst
at_least	at_most
at_the_least	at_the_most
atheism	theism
atomic	conventional
atomic_theory	holism
atomistic	holistic
atonal	tonal
atonalism	tonality
atonia	tonus
atoxic	toxic
atrophied	enlarged
attach	come_away
attach	detach
attachable	detachable
attached	detached
attached	unattached
attend	miss
attend_to	drop
attendance	nonattendance
attending	inattention
attentive	heedless
attentive	inattentive
attentiveness	heedlessness
attentiveness	inattentiveness
attract	push_back
attraction	repulsion
attractive	repulsive
attractive	unattractive
attractiveness	unattractiveness
attributable	unascribable
attributive	predicative
atypicality	typicality
atypically	typically
audibility	inaudibility
audible	inaudible
audibly	inaudibly
augmentation	diminution
aunt	uncle
auspicious	inauspicious
auspiciously	inauspiciously
auspiciousness	inauspiciousness
authoritative	unauthorised
autoecious	heteroecious
autogamic	endogamic
autogamic	exogamic
autogenic	heterogeneous
autologous	heterologous
autologous	homologous
automatic	manual
autophytic	heterotrophic
autumnal	summery
autumnal	vernal
autumnal	wintery
available	unavailable
avascular	vascular
avenged	unavenged
avertable	inevitable
avirulent	virulent
avoid	confront
avoirdupois	leanness
avouch	disavow
awakened	unawakened
aware	incognizant
aware	mindless
away	home
away_game	home_game
awed	unawed
awful	nice
awkward	graceful
awkwardness	gracefulness
awned	awnless
azonal	zonal
babble_out	shut_one's_mouth
back	front
back	look
back	veer
back_burner	front_burner
back_end	front_end
back_up	unclog
backed	backless
background	foreground
backhand	forehand
backward	forward
backward	frontward
bad	good
bad_egg	good_egg
bad_guy	good_guy
bad_person	good_person
bad_weather	good_weather
badly	good
badly	well
badness	goodness
balance	imbalance
balance	unbalance
balanced	imbalanced
balconied	unbalconied
banded	unbanded
bank	draw_off
baptised	unbaptised
bar	unbar
bare	covered
bare	sheathed
barreled	unbarreled
barrenness	fecundity
basal	cauline
basic	incident
basso_rilievo	high_relief
be	differ
be_active	rest
be_born	expire
beaked	beakless
bear	bull
bear_in_mind	forget
bearing	nonbearing
beautiful	ugly
beautifully	unattractively
beauty	ugliness
becomingness	unbecomingness
bed	turn_out
bedded	bedless
bedded	unstratified
begetter	mother
begin	end
begin	stop
beginning	conclusion
beginning	end
beginning	middle
begrudge	wish
behave	misbehave
being	nonbeing
belief	disbelief
believable	incredible
believably	implausibly
believably	unbelievably
believe	disbelieve
believingly	unbelievingly
belittle	blandish
bellied	bellyless
below_the_belt	clean
belt	unbelt
belt_up	open_up
belted	beltless
bend	straighten
beneficed	unbeneficed
beneficence	maleficence
beneficence	mischief
beneficent	maleficent
benevolence	malevolence
benevolently	malevolently
benign	malign
benign	malignant
benignancy	malignance
benignity	malignancy
bequeath	disinherit
beseeching	imperative
best	worst
betray	undeceive
better	worse
bettering	worsening
beyond_control	in_hand
biaural	monaural
bibbed	bibless
bicameral	unicameral
bidirectional	unidirectional
biennial	perennial
big	little
big	small
bigness	littleness
bimodal	unimodal
binaurally	to_one_ear
bind	unbind
bind	unlace
binuclear	mononuclear
binuclear	trinuclear
biodegradable_pollution	nonbiodegradable_pollution
biovular	identical
biped	four-footed
bipedal	quadruped
bipolar	unipolar
birth	death
bisexual	heterosexual
bisexual	homosexual
bivalent	multivalent
bivalent	univalent
bivalve	univalve
black	white
black-and-white	color
blear	focalise
blemished	unblemished
blended	unblended
bless	unhallow
blessed	cursed
blessing	disapproval
blind	sighted
blitheness	cheerlessness
block	loosen_up
block	release
blond	brunet
blood_brother	sis
bloodily	bloodlessly
bloodless	bloody
blow_out	ignite
blow_up	deflate
blow_up	reduce
blue-collar	white-collar
blunt	liven
blunt	sharpen
blunt_file	taper_file
bluntness	keenness
bluntness	sharpness
blur	focalise
blur	focus
boarding_school	day_school
bodied	unbodied
bodoni	old_style
boil	freeze
bold	timid
boldness	timidity
bolt	unbolt
boneless	boney
boo	clap
bordered	unbordered
bore	interest
born	unborn
borrow	lend
borrower	lender
bottle-fed	breast-fed
bottlefeed	breastfeed
bottom	side
bottom	top
bottom-up	top-down
bottom_out	peak
bottomed	bottomless
bounce	clear
bounce_back	get_worse
bound	free
bound	unbound
bounded_interval	open_interval
bowed	plucked
box	unbox
boy	daughter
boy	female_child
boycott	shop
boycott	shop_at
brace	de-energize
brachycephalic	dolichocephalic
bracteate	ebracteate
braid	unbraid
brainwashed	unbrainwashed
branchless	branchy
brand-name_drug	generic_drug
branded	unbranded
brave	cautious
brave	cowardly
bravery	cowardice
bravery	fear
break	conform_to
break	furbish_up
break	make
break_apart	unite
break_even	lose
break_even	profit
breakable	unbreakable
breakableness	unbreakableness
breasted	breastless
breathing	breathless
bridgeable	unbridgeable
bridle	unbridle
bright	dim
bright	dull
brighten	darken
brightness	dullness
bring	carry_off
bring_home_the_bacon	fail
bring_off	fail
bring_up	get_down
broad	narrow
broad-minded	narrow
broad-minded	narrow-minded
broad-mindedly	narrow-mindedly
broad-mindedness	narrow-mindedness
broaden	narrow
broaden	narrow_down
broadening	narrowing
broadly	narrowly
broadness	narrowness
broken	kept
broken	unbroken
brotherlike	sisterlike
buckle	unbuckle
bulging	concave
bulk	minority
burden	disburden
burdened	unburdened
buried	unburied
burst	go_off
bury	remember
busy	idle
button	unbutton
buttoned	unbuttoned
buy	sell
by_all_means	by_no_means
by_chance	on_purpose
by_hand	by_machine
cacodaemon	eudaemon
cacogenic	eugenic
cacogenics	eugenics
cacophonic	euphonious
caducous	lasting
caenogenesis	palingenesis
calced	discalceate
calcicolous	calcifugous
calcify	decalcify
calculable	incalculable
call	put
call_up	draw_a_blank
calm	perk_up
calm	stormy
calmness	discomposure
camphorated	uncamphorated
campylotropous	orthotropous
can	employ
cancelled	on
candour	unfairness
cannonball_along	dawdle
capability	incapability
capable	incapable
capableness	incapableness
capably	displaying_incompetence
capacity	incapacity
capitalism	socialism
capitalist	socialist
captor	liberator
cardinal	ordinal
cared-for	uncared-for
careful	careless
carefully	carelessly
carefulness	carelessness
carinate	ratite_bird
carnivorous	herbivorous
carnivorous	insectivorous
carnivorous	omnivorous
carpeted	uncarpeted
carry_on	give_up
carry_to_term	miscarry
carved	uncarved
carvel-built	clincher-built
cash	credit
cash_account	margin_account
cast_off	cast_on
castrated	uncastrated
catadromous	diadromous
catalectic	hypercatalectic
catarrhine	leptorhine
catarrhine	platyrhinian
catch	unhitch
categorem	syncategorem
categorematic	syncategorematic
categoreme	syncategoreme
caudal	cephalic
caulked	uncaulked
causative	noncausal
cause_to_sleep	wake
cautious	incautious
cautiously	incautiously
cautiousness	incaution
ceilinged	floored
celebrity	infamy
cenobite	eremite
cenobitic	eremitic
cenogenetic	palingenetic
censored	uncensored
center	left
center	right
central	peripheral
centralisation	decentralisation
centralise	deconcentrate
centralised	decentralised
centralising	decentralising
centrality	marginality
centralize	decentralize
centralize	deconcentrate
centrally	peripherally
centrifugal	centripetal
centrifugal_force	centripetal_force
cerebral	emotional
ceremonially	unceremoniously
ceremoniousness	unceremoniousness
certain	uncertain
certain	unsure
certainty	dubiousness
certainty	precariousness
certified	uncertified
chain	unchain
change	rest
changeability	changelessness
changeable	changeless
changeable	unchangeable
changed	unchanged
changefulness	constancy
characteristic	uncharacteristic
characteristically	uncharacteristically
charge	discharge
