# Open English WordNet 2024 (CC BY 4.0), lemma -> synsets in sense order. See THIRD_PARTY.md
a	72970,80988,79468,78769,72844,36883,29825,36883
a'man	45477
a-bomb	14700
a-horizon	46969
a-line	14398
a-list	35018
a-scan_ultrasonography	4605
a-team	44173
a_battery	14223
a_capella_singing	2715
a_cappella_singing	2715
a_horizon	46969
a_kempis	58746
a_la_carte	35095,112376,118775
a_level	77321
aa	43895,36178,80066
aaa	75549
aac	83662
aachen	47463
aaland_islands	47521
aalborg	47433
aalii	68270
aalst	47835
aalto	58722
aar	49430
aardvark	10817
aardwolf	11037
aare	49430
aare_river	49430
aarhus	47432
aaron	58724,58723
aaron's_rod	68999
aaron_burr	59086
aaron_copland	59272
aaron_montgomery_ward	61829
aarp	46158
aas	36179
aave	37601
ab	36182,29827,81676,30596
aba	14219,14218
aba_transit_number	34752
abaca	80162,66432
abacus	14221,14220
abadan	48068
abalone	10007
abamp	72846
abampere	72846
abandon	27137,40552,96048,96047,95294,87997,88000
abandoned_infant	54558
abandoned_person	52493
abandoned_ship	14222
abandonment	937,153,338
abarticulation	76562
abasement	77379,1292
abashment	40706
abasia	77942
abasia_trepidans	77943
abatable_nuisance	31994
abatement	39913,1768
abatement_of_a_nuisance	1769
abatis	14224
abator	52494
abattis	14224
abattoir	14225
abaya	14226
abb	43899
abbacy	46415
abbe	52495
abbe_condenser	14227
abbe_vertical_metroscope	84327
abbess	52496
abbey	14230,14229,14228
abbot	52497
abbott_lawrence_lowell	60517
abbreviation	38420,1754
abbreviator	52501
abc	35098
abc's	35098
abcoulomb	72840
abcs	35098
abdias	60916,34815
abdication	39294,35171
abdicator	52506
abdomen	30595,30601
abdominal	30596,115508
abdominal_actinomycosis	76349
abdominal_aorta	29467
abdominal_aortic_aneurysm	75549
abdominal_breathing	4240
abdominal_cavity	30601
abdominal_delivery	846
abdominal_external_oblique_muscle	30599
abdominal_muscle	30596
abdominal_nerve_plexus	30355
abdominal_pregnancy	75236
abdominal_wall	30837
abdominocentesis	4823
abdominoplasty	55
abdominousness	27757
abducens	30216
abducens_muscle	29369
abducens_nerve	30216
abducent	30216,98792
abducent_nerve	30216
abduction	3940,1617
abductor	55336,29235
abductor_muscle	29235
abecedarian	44249,52507,99318
abecedarius	34482
abel	58725,51561
abel_janszoon_tasman	61590
abel_tasman	61590
abelard	58726
abele	68229
abelia	67939
abelian_group	32893
abelmoschus	65583
abelmoschus_esculentus	65584
abelmoschus_moschatus	65586
abelmosk	65586
abenaki	51801
aberdare	47993
aberdeen	49250,49176,48932,47979
aberdeen_angus	12717
aberrance	77704
aberrancy	77704
aberrant	52508,107510
aberration	77704,77102,62084
abetalipoproteinemia	75765
abetment	39280
abettal	39280
abetter	52509
abettor	52509
abeyance	75042
abfarad	72838
abhenry	72856
abhorrence	40679
abhorrer	52510
abidance	6154,5392,5216
abidjan	47303
abience	49399
abies	62928
abies_alba	62933
abies_amabilis	62932
abies_balsamea	62935
abies_bracteata	62939
abies_concolor	62934
abies_fraseri	62936
abies_grandis	62937
abies_lasiocarpa	62938
abies_lowiana	62934
abies_venusta	62939
abila	50121
abilene	49189,48899
ability	28771,30899
abiogenesis	62085
abiogenist	52511
abiotrophy	40246
abjection	77379
abjuration	39028
abjurer	52498
abkhas	51778,46161
abkhasian	51778,37793
abkhasian_language	37793
abkhaz	51778,48577,46161,113226
abkhazia	48577
abkhazian	51778,37793,113226
abkhazian_language	37793
ablactation	71763,908
ablation	1931,71764
ablation_moraine	83680
ablative	34140,116207,99045
ablative_absolute	34141
ablative_case	34140
ablaut	38533
able-bodied_sailor	52512
able-bodied_seaman	82790
able-bodied_seawoman	82504
able-bodiedism	5913
able-bodism	5913
able_seaman	82790
able_seawoman	82504
ableism	5913
ablepharia	75766
ablism	5913
abls	36183
ablution	1191
abm	14511
abnaki	51801,37305,113227
abnaki_language	37305
abnegation	39018,944
abnegator	52499
abney_level	14231
abnormal_psychology	33312
abnormalcy	77698
abnormality	77698,31066,26694,3763
abo	82582
abo_antibodies	80620
abo_blood_group_system	31510
abo_group	31510
abo_system	31510
abocclusion	75267
abode	46466,17744
abohm	72902
abolishment	1066
abolition	1066
abolitionism	32613
abolitionist	52513
abomasum	12688
abominable_snowman	50982
abomination	52514,40679,3809
abominator	52500
abor	37509
abor_language	37509
aboriginal	51726,104468,103269
aboriginal_australian	37559
aboriginal_australian_language	37559
aborigine	51983,51726
abort	56,86678,85254,85253
aborticide	14232,1083
abortifacient	14232,100577
abortion	1077,39653
abortion-inducing_drug	14232
abortion_pill	14233
abortionist	52516
abortus	7442
aboulia	75129
about-face	1690,726,94424,88333
about_turn	1690
above	34570,99450,117467,117469
abracadabra	35694
abrachia	77513
abradant	79291,14234
abrader	14234
abrading_stone	14235
abraham	58727
abraham's_bosom	30957
abraham_lincoln	60459
abraham_stoker	61512
abramis	7321
abramis_brama	7322
abrasion	76513,71765,62296
abrasive	79291,111150,99260
abrasive_material	79291
abrasiveness	27462,26607
abreaction	1180
abridgement	34936
abridger	52501
abridgment	34936
abrocoma	12483
abrocome	12484
abrogation	1086
abrogator	52517
abronia	63965
abronia_elliptica	63967
abronia_fragrans	63968
abronia_latifolia	63969
abronia_maritima	63970
abronia_umbellata	63971
abronia_villosa	63972
abruptio_placentae	75268
abruption	5472
abruptly-pinnate_leaf	70298
abruptness	27296,28111,28065
abruzzi	47615
abruzzi_e_molise	47615
abruzzo	47615
abs	78189
abscess	76641
abscessed_tooth	76642
abscissa	32859
abscission	71766,1927
absconder	52503
abscondment	154
abseil	1588,94495
abseiler	52518
absence	74786,6324,81984,75448
absence_seizure	75448
absence_without_leave	155
absentee	52519
absentee_ballot	34978
absentee_rate	73998
absenteeism	6325
absentmindedness	31347
absinth	43329
absinthe	64391,43329
absinthe_oil	79835
absolute	32114,98807,101709,102773,103705,99280
absolute_alcohol	78782
absolute_ceiling	28435
absolute_deviation	83737
absolute_encoder	84639
absolute_frequency	72640
absolute_magnitude	28223
absolute_majority	72555
absolute_music	83884
absolute_pitch	31131
absolute_scale	74205
absolute_space	39
absolute_temperature	27819
absolute_threshold	31409
absolute_value	72557
absolute_viscosity	72589
absolute_zero	27820
absoluteness	28393,26405
absolution	78098,356
absolutisation	84168
absolutism	77397,45982,33664,32614
absolutist	52504,116822
absolutization	84168
absolver	52505
absorbance	28216
absorbate	78221
absorbency	27419
absorbent	78220,98814
absorbent_cotton	78224
absorbent_material	78220
absorber	78223
absorptance	72576
absorption	71767,71768,71827,71826,31361,31341
absorption_band	62086
absorption_coefficient	72576
absorption_factor	27805
absorption_indicator	78225
absorption_spectrum	62088
absorption_unit	72650
absorptivity	27805
abstainer	52522,52521
abstemiousness	28343,27127
abstention	27120
abstinence	27120,5474
abstinent	52521,98830
abstract	32113,34943,88346,96281,88545,89799,98839,109627,103516
abstract_art	14238
abstract_artist	52523
abstract_entity	2
abstract_expressionism	14236
abstract_thought	31701
abstractedness	31343
abstracter	52502
abstraction	32113,1928,31738,14237,31343,2
abstractionism	14238,32535
abstractionist	52523,109627
abstractness	26519
abstractor	52502
abstruseness	26820,32453
abstrusity	32453
absurd	74621,106594,113052
absurdist_humor	84605
absurdist_humour	84605
absurdity	35678,27171
absurdness	35678
abu_ali_al-husain_ibn_abdallah_ibn_sina	58842
abu_dhabi	48694
abu_hafs_al-masri_brigades	43896
abu_nidal_organization	43926
abu_qir_bay	49431
abu_sayyaf	43897
abudefduf	13875
abudefduf_saxatilis	13876
abuja	48367
abukir	49431
abukir_bay	49431
abul-walid_mohammed_ibn-ahmad_ibn-mohammed_ibn-roshd	58841
abulia	75129
abundance	28347,74009,74008
abuse	2069,36295,4846,97457,85915,89039,85916
abuser	52524
abutilon	65587
abutilon_theophrasti	65589
abutment	46792,14239
abutment_arch	14240
abutter	52525
abvolt	72876
abwatt	72886
aby_moritz_warburg	61827
aby_warburg	61827
abydos	48673
abyla	50121
abysm	49432
