# Open English WordNet 2024 (CC BY 4.0): id, lemmas, hypernyms, similar/derivational, topic domains. See THIRD_PARTY.md
0	entity			
1	physical_entity	0		
2	abstraction|abstract_entity	0	88346	
3	thing	1		
4	object|physical_object	1	87560	
5	whole|unit	4	92200,86746,91806,86747,103109	
6	congener	5		
7	living_thing|animate_thing	5		
8	organism|being	7,16	97903,115837,107971,104791	
9	benthos	8	113657	
10	dwarf	8		
11	heterotroph	8		
12	parent	8		
13	life	7		
14	biont	7		
15	cell	7	113827,100599	32974
16	causal_agent|cause|causal_agency	1	100580,93135,88719	
17	person|individual|someone|somebody|mortal|soul	8	86845,107321,25829,88510	
18	animal|animate_being|beast|brute|creature|fauna	8	93319,93319,105686,105686,93017	
19	plant|flora|plant_life	8	114956,114859,62685,92733	33077
20	native	8		
21	natural_object	5		
22	substance	24,73957	102268	
23	substance	24		
24	matter	1		
25	food|nutrient	23,40974	112977,90813	
26	nutrient	23		
27	artifact|artefact	5	115838,115838	
28	article	27		
29	psychological_feature	2		
30	cognition|knowledge|noesis	29	108536	
31	motivation|motive|need	29	114404,93159,100585,93159	
32	attribute	2		
33	state	32		
34	feeling	33	93763	
35	location	4	98289,96563,96327,86965	
36	shape|form	32		
37	time	32		
38	space|infinite	32	114913,114913	
39	absolute_space	38		
40	phase_space	38		33150
41	event	2		
42	process|physical_process	1		
43	act|deed|human_action|human_activity	41	93159,93126,96763	
44	group|grouping	2	90217,88182	
45	relation	2	74622,73971,73811,98446,88445	
46	possession	45		
47	social_relation	45		
48	communication	2	101575,96065,89901,88670,90113,88582,88576	
49	measure|quantity|amount	2	98053,88299,87329,88142	
50	phenomenon	42		
51	thing	67		
52	exercise	67		
53	kindness|benignity	67	106254	
54	update	2007	88990,85736,85737	
55	abdominoplasty|tummy_tuck	3521		
56	abort	967		
57	accomplishment|achievement	67	97498,93113,97498	
58	agon	2111		
59	alienation	67		
60	application	67		
61	beachhead|foothold	57		
62	cakewalk	57		
63	feat|effort|exploit	57		
64	masterpiece	57		
